COUNTY,POPULATION,Violent Crime,MURDER,RAPE,ROBBERY,AGGRAV,BURGLARY,LARCENY,MOTOR,ARSON,INDEX,%OF
Baker,3762,2,0,0,0,2,6,0,0,0,8,
Dougherty,95314,602,8,48,227,546,1589,3355,320,14,6107,
Lee,34775,24,0,12,9,12,151,367,31,1,583,
Terrell,10175,34,0,1,2,33,103,63,5,0,207,
Worth,21139,18,1,2,4,15,207,454,52,0,735,
Clarke,115741,321,10,44,158,267,1997,3776,276,23,6551,
Madison,28346,100,0,5,7,95,66,440,40,0,653,
Oconee,32802,81,0,1,1,80,134,332,26,1,575,
Oglethorpe,13404,25,0,1,4,24,89,132,17,1,268,
Barrow,73014,257,0,19,21,238,459,1373,150,10,2270,
Bartow,96758,219,6,26,52,187,906,2406,294,4,3881,
Butts,24900,62,3,12,14,47,151,422,72,2,723,
Carroll,116457,784,7,42,67,735,862,2651,245,15,4624,
Cherokee,218698,140,3,11,29,126,623,2127,93,10,3022,
Clayton,276732,865,18,104,672,743,4996,6426,1669,30,14658,
Cobb,705231,1266,24,121,634,1121,4847,11172,1469,54,19442,
Coweta,126677,206,5,11,46,190,744,1780,170,6,2952,
Dawson,22654,21,2,2,2,17,108,278,29,5,443,
DeKalb,744994,1930,67,183,2400,1680,10523,19652,5005,143,39653,
Douglas,132021,272,4,14,82,254,826,2736,274,8,4198,
Fayette,107718,50,1,7,20,42,298,1278,158,3,1807,
Forsyth,177188,73,2,20,25,51,555,1644,107,13,2417,
Fulton,1035101,4983,114,267,3861,4602,15965,34336,8302,208,67655,
Gwinnett,810933,1141,38,171,1218,932,6329,14295,2125,98,25206,
Haralson,29221,125,0,4,9,121,172,614,68,1,989,
Heard,11469,28,0,1,3,27,54,118,29,0,232,
Henry,200565,364,4,31,105,329,1309,3464,460,17,5719,
Jasper,14070,30,0,3,5,27,82,128,12,0,257,
Lamar,17043,82,1,4,10,77,130,262,19,2,505,
Meriwether,22773,45,0,5,10,40,195,411,69,1,731,
Newton,103145,319,6,14,54,299,985,1600,239,10,3207,
Paulding,139716,312,3,19,34,290,681,2244,244,26,3541,
Pickens,32052,56,0,7,0,49,136,242,23,0,457,
Pike,17968,12,2,0,2,10,39,90,9,0,152,
Rockdale,84388,285,3,17,83,265,810,2247,266,11,3702,
Spalding,64260,209,1,26,89,182,631,1904,190,8,3031,
Walton,88652,181,9,15,31,157,451,1302,154,6,2125,
Burke,22682,148,0,0,19,148,284,530,54,1,1036,
Columbia,112725,109,4,16,46,89,409,1923,131,6,2624,
McDuffie,21716,39,0,0,16,39,174,376,43,0,648,
Richmond,198582,357,26,139,700,192,3636,8975,1648,68,15384,
Brantley,15539,49,0,9,5,40,150,90,2,0,296,
Glynn,76518,524,16,26,138,482,988,2909,175,8,4742,
McIntosh,11468,60,0,2,7,58,162,269,34,5,537,
Catoosa,63656,74,1,7,19,66,334,1504,148,1,2080,
Dade,16181,47,0,4,3,43,67,192,36,1,346,
Walker,64932,317,1,15,19,301,531,1078,75,1,2021,
Chattahoochee,13629,0,0,0,0,0,0,0,0,0,0,
Harris,30020,5,0,0,1,5,17,289,9,0,321,
Marion,6910,15,0,1,3,14,35,55,4,0,112,
Muscogee,186224,579,13,47,577,519,3801,9471,1521,50,15999,
Murray,40538,52,1,5,7,46,169,616,69,1,914,
Whitfield,94564,295,1,26,26,268,603,2191,104,13,3232,
Hall,189639,273,4,39,68,230,1196,2992,327,15,4871,
Liberty,57926,192,2,22,87,168,847,1397,114,5,2642,
Long,11530,21,0,5,4,16,83,73,12,1,194,
Bibb,154677,510,22,42,387,446,2518,6326,832,94,10667,
Crawford,12463,33,0,4,2,29,123,266,32,3,459,
Jones,27882,23,0,1,6,22,152,303,42,2,528,
Monroe,25551,28,1,4,9,23,178,349,55,4,623,
Twiggs,10177,13,0,0,0,13,37,110,6,1,167,
Floyd,96145,330,3,26,95,301,786,2121,184,84,3600,
Bryan,32025,41,0,8,14,33,211,657,39,0,962,
Chatham,252175,660,31,59,694,570,3075,8272,1310,64,14075,
Effingham,53708,31,0,8,4,23,266,263,44,1,609,
Brooks,16349,158,2,3,15,153,187,308,54,4,726,
Echols,4077,7,0,1,1,6,15,26,1,1,51,
Lanier,8364,14,0,4,2,10,20,44,3,0,83,
Lowndes,105585,197,9,39,99,149,861,2478,151,14,3800,
Houston,135248,362,4,18,125,340,1074,3621,209,21,5412,
