COUNTY,POPULATION,Violent Crime,MURDER,RAPE,ROBBERY,AGGRAV,BURGLARY,LARCENY,MOTOR,ARSON,INDEX,%OF
Baker,3118,7,0,0,0,7,7,19,3,0,36,
Dougherty,95799,625,4,32,240,589,1600,3843,266,13,6587,
Lee,28880,87,1,1,5,85,150,453,27,2,724,
Terrell,9418,33,2,1,1,30,81,61,6,2,184,
Worth,22155,49,2,1,7,46,224,364,24,1,669,
Clarke,118596,316,5,55,162,256,1193,3470,254,25,5420,
Madison,28219,37,0,3,7,34,193,512,46,6,801,
Oconee,33722,36,0,0,4,36,61,397,32,1,531,
Oglethorpe,14559,22,1,0,5,21,103,477,20,0,627,
Barrow,70658,305,0,11,22,294,405,1104,93,7,1936,
Bartow,101493,375,2,23,38,350,1032,2542,287,6,4280,
Butts,23755,53,0,10,12,43,118,392,49,0,624,
Carroll,112345,276,3,37,74,236,957,2557,172,8,4044,
Cherokee,220615,174,3,35,32,136,777,2189,168,1,3341,
Clayton,264323,813,28,68,680,717,4442,6946,1605,34,14520,
Cobb,704996,1249,15,119,647,1115,4327,11312,1143,44,18722,
Coweta,131012,165,2,14,54,149,606,1928,144,9,2906,
Dawson,22699,9,0,0,2,9,69,281,24,3,388,
DeKalb,707361,1795,75,153,1957,1567,10210,20007,5218,177,39364,
Douglas,134778,290,1,20,74,269,761,2944,205,9,4283,
Fayette,108934,64,3,7,21,54,286,1124,130,5,1630,
Forsyth,183780,155,0,15,10,140,395,1431,33,2,2026,
Fulton,959727,5028,128,225,3528,4675,11537,32294,8018,142,60547,
Gwinnett,833744,1082,39,190,804,853,4822,12743,1287,65,20803,
Haralson,28944,162,1,6,4,155,310,442,90,1,1009,
Heard,11869,29,0,3,0,26,38,111,15,0,193,
Henry,209573,266,5,39,123,222,1609,3943,444,16,6401,
Jasper,14033,38,0,4,0,34,75,110,10,0,233,
Lamar,18388,52,3,8,7,41,79,378,34,4,554,
Meriwether,21848,55,0,1,4,54,181,424,42,2,708,
Newton,101890,317,4,26,54,287,986,1610,248,11,3226,
Paulding,145074,189,1,18,32,170,687,2011,271,9,3199,
Pickens,29729,53,2,0,0,51,122,409,21,0,605,
Pike,17940,9,0,3,2,6,44,69,1,0,125,
Rockdale,86680,255,1,14,56,240,804,2233,272,3,3623,
Spalding,64716,267,3,24,82,240,797,2287,160,3,3596,
Walton,85483,193,15,21,43,157,721,1699,162,5,2823,
Burke,23755,89,1,1,11,87,152,280,17,0,549,
Columbia,129479,55,1,12,22,42,451,2034,110,11,2683,
McDuffie,21904,12,1,1,1,10,107,161,15,0,296,
Richmond,203364,362,28,88,546,246,3177,7543,1189,51,12868,
Brantley,18563,33,1,9,5,23,229,119,0,0,386,
Glynn,81244,331,6,13,125,312,957,2813,112,8,4346,
McIntosh,14321,21,1,0,4,20,146,231,23,0,425,
Catoosa,65214,114,3,8,18,103,349,1442,137,7,2067,
Dade,16747,37,0,1,1,36,62,169,22,0,291,
Walker,64583,117,0,8,31,109,516,1292,102,1,2059,
Chattahoochee,11874,0,0,0,0,0,19,3,1,1,24,
Harris,32609,27,0,0,1,27,70,241,10,2,351,
Marion,8839,4,0,0,0,4,18,56,2,0,80,
Muscogee,196178,571,17,31,424,523,2712,7765,846,28,12346,
Murray,39979,89,1,6,3,82,170,646,50,0,958,
Whitfield,104285,234,3,19,38,212,780,2120,121,14,3307,
Hall,185005,225,6,35,95,184,917,3053,322,22,4634,
Liberty,66149,205,2,26,41,177,599,1474,79,6,2404,
Long,15298,23,1,12,3,10,154,130,19,1,330,
Bibb,158102,514,24,56,287,434,2393,6225,683,211,10313,
Crawford,12701,41,1,1,6,39,162,261,20,0,490,
Jones,28820,20,1,2,2,17,141,350,33,4,550,
Monroe,26909,33,0,2,6,31,126,359,37,4,565,
Twiggs,8873,9,0,0,4,9,59,101,6,1,180,
Floyd,97013,286,5,25,56,256,903,2699,144,36,4124,
Bryan,31712,46,0,5,8,41,122,451,29,0,656,
Chatham,274442,537,24,39,537,474,2458,6874,759,62,11227,
Effingham,53217,39,1,16,10,22,193,341,29,1,613,
Brooks,16059,77,0,12,10,65,117,328,34,0,566,
Echols,4173,0,0,0,0,0,20,25,1,0,46,
Lanier,16215,31,0,4,4,27,83,114,12,0,244,
Lowndes,113079,262,4,44,97,214,901,2339,111,13,3723,
"Warner Robins, GA",145461,325,8,31,167,286,1146,4212,212,21,6083,
