COUNTY,POPULATION,Violent Crime,MURDER,RAPE,ROBBERY,AGGRAV,BURGLARY,LARCENY,MOTOR,ARSON,INDEX,%OF
Baker,3109,0,0,0,0,0,0,0,0,0,0,
Dougherty,89392,717,22,33,159,662,976,3395,216,29,5492,
Lee,29528,37,1,6,14,30,87,460,14,0,612,
Terrell,8890,26,0,3,5,23,41,134,8,0,214,
Worth,20615,108,0,13,7,95,119,282,16,1,533,
Clarke,126113,410,6,69,126,335,719,3302,234,14,4805,
Madison,28975,38,0,3,4,35,96,295,22,0,455,
Oconee,37580,27,1,0,3,26,60,383,18,0,491,
Oglethorpe,14942,30,0,0,2,30,47,153,16,0,248,
Barrow,78539,373,2,22,26,349,344,1390,98,4,2235,
Bartow,104560,112,0,13,14,99,219,1064,99,0,1508,
Butts,23859,73,0,4,12,69,77,428,35,0,625,
Carroll,117359,329,4,35,69,290,701,2413,246,10,3768,
Cherokee,246715,191,4,33,43,154,418,2419,139,0,3210,
Clayton,283233,1209,44,202,627,963,2585,7690,1760,15,13886,
Cobb,759287,1288,27,172,601,1089,2540,13619,1537,37,19622,
Coweta,142923,301,7,23,48,271,419,1771,179,6,2724,
Dawson,23860,33,0,7,3,26,69,356,29,0,490,
DeKalb,749485,2327,98,169,1535,2060,6000,20853,3729,137,34581,
Douglas,144064,335,4,24,98,307,491,3454,179,8,4565,
Fayette,112556,65,2,9,46,54,160,1210,117,4,1602,
Forsyth,229674,120,4,24,17,92,322,1624,111,7,2201,
Fulton,1041823,4825,124,415,2354,4286,6235,33652,6097,114,53277,
Gwinnett,925877,1118,33,192,803,893,3342,14152,1620,45,21080,
Haralson,29121,131,1,5,7,125,171,580,57,1,947,
Heard,11440,14,0,1,0,13,36,89,20,2,161,
Henry,224943,312,4,48,133,260,957,3815,473,14,5704,
Jasper,13634,58,0,0,3,58,55,159,12,0,287,
Lamar,18525,31,0,1,2,30,81,343,34,0,491,
Meriwether,20975,74,1,3,8,70,88,260,25,2,457,
Newton,108315,353,10,24,78,319,516,1714,307,6,2974,
Paulding,158309,181,4,18,27,159,535,2212,361,6,3322,
Pickens,31106,75,0,8,4,67,103,508,40,0,730,
Pike,17969,13,0,3,1,10,37,138,10,0,199,
Rockdale,90147,220,3,29,61,188,380,1907,186,13,2767,
Spalding,65007,291,5,17,61,269,595,1680,161,2,2790,
Walton,91374,174,11,14,34,149,291,1261,125,1,1886,
Burke,22609,78,4,4,18,70,124,316,52,1,589,
Columbia,151754,55,0,13,21,42,251,1907,94,3,2331,
McDuffie,21460,32,0,1,5,31,117,92,15,0,261,
Richmond,202012,593,23,47,283,523,1615,6832,672,46,10041,
Brantley,18361,27,1,5,3,21,92,321,17,0,460,
Glynn,85418,272,11,22,84,239,736,1847,161,5,3105,
McIntosh,13885,26,1,1,4,24,161,222,18,0,431,
Catoosa,66882,130,0,12,18,118,265,1225,160,4,1802,
Dade,16219,32,0,0,0,32,9,50,1,0,92,
Walker,67814,268,4,5,24,259,371,1063,169,7,1902,
Chattahoochee,10910,0,0,0,0,0,0,0,0,0,0,
Harris,33949,14,0,2,5,12,61,140,19,0,239,
Marion,8498,7,0,0,0,7,32,39,0,0,78,
Muscogee,198832,915,35,74,395,806,2138,6052,705,35,10240,
Murray,39326,53,1,0,0,52,51,134,10,2,250,
Whitfield,105022,224,2,34,23,188,468,1625,180,8,2528,
Hall,199799,360,5,70,66,285,588,2393,358,33,3798,
Liberty,62647,296,4,16,37,276,359,1265,86,1,2044,
Long,19174,24,0,8,2,16,98,99,16,0,239,
Bibb,152480,625,29,70,311,526,1762,5411,552,112,8773,
Crawford,12289,13,1,0,2,12,83,161,17,2,278,
Jones,28656,31,1,0,5,30,116,256,26,3,437,
Monroe,27481,42,1,2,11,39,97,417,42,2,611,
Twiggs,8057,16,1,1,1,14,49,67,14,1,148,
Floyd,96700,267,5,16,38,246,466,1815,144,11,2741,
Bryan,37354,103,0,8,5,95,143,387,19,3,660,
Chatham,293499,922,38,115,425,769,1779,"7,578 1,062",,,"21 11,787",
Effingham,59899,64,0,5,9,59,275,589,57,0,994,
Brooks,15613,76,1,7,9,68,98,323,29,1,536,
Echols,3956,2,0,0,0,2,13,32,0,1,48,
Lanier,10464,48,0,6,5,42,45,133,15,1,247,
Lowndes,115619,245,10,26,55,209,865,3368,332,17,4882,
Houston,154295,387,8,42,163,337,1067,4667,352,20,6656,
