COUNTY,POPULATION,Violent Crime,MURDER,RAPE,ROBBERY,AGGRAV,BURGLARY,LARCENY,MOTOR,ARSON,INDEX,%OF
Baker,3327,4,0,0,0,4,9,14,4,1,32,
Dougherty,92862,645,9,26,160,610,1298,3182,227,14,5526,
Lee,29329,40,0,5,11,35,91,675,24,0,841,
Terrell,8975,30,0,3,2,27,106,46,8,0,192,
Worth,21276,55,2,4,11,49,168,273,14,0,521,
Clarke,122669,324,4,108,127,212,830,3225,196,27,4729,
Madison,28111,40,0,3,7,37,186,384,45,11,673,
Oconee,34408,36,0,3,2,33,87,397,24,0,546,
Oglethorpe,13898,41,0,2,8,39,161,227,19,1,457,
Barrow,72136,316,0,21,20,295,378,1385,133,7,2239,
Bartow,101889,453,2,32,34,419,1044,3397,314,1,5243,
Butts,23344,41,1,3,5,37,92,324,30,0,492,
Carroll,113125,297,5,35,54,257,867,2905,240,10,4373,
Cherokee,228386,170,1,34,36,135,529,2493,192,2,3422,
Clayton,266197,899,26,87,672,786,3653,7095,1410,35,13764,
Cobb,726591,1105,23,92,649,990,3413,12815,1358,30,19370,
Coweta,134962,260,7,19,41,234,572,1803,149,11,2836,
Dawson,22854,20,1,3,1,16,82,334,23,2,462,
DeKalb,720946,2154,94,176,2286,1884,10243,22770,5096,136,42685,
Douglas,137780,303,7,27,74,269,610,2854,235,12,4088,
Fayette,109061,58,2,5,25,51,267,1221,92,1,1664,
Forsyth,201018,93,0,16,9,77,324,1381,62,7,1876,
Fulton,1002708,4723,139,291,3661,4293,10257,32453,6720,114,57928,
Gwinnett,875397,979,25,156,703,798,3980,13772,1466,68,20968,
Haralson,28516,185,0,4,5,181,240,647,65,0,1142,
Heard,11523,22,0,1,0,21,39,79,15,2,157,
Henry,213317,251,3,49,144,199,1391,4151,434,13,6384,
Jasper,13572,16,0,1,0,15,36,80,9,0,141,
Lamar,17939,62,0,3,35,59,217,1019,92,3,1428,
Meriwether,21148,26,0,0,1,26,111,263,18,0,419,
Newton,103385,337,3,21,46,313,659,1731,233,0,3006,
Paulding,148490,188,2,18,39,168,605,2351,287,14,3484,
Pickens,29709,51,0,4,2,47,82,320,25,0,480,
Pike,17821,20,1,3,1,16,52,145,10,0,228,
Rockdale,87581,194,4,16,53,174,495,2039,174,12,2967,
Spalding,63973,316,5,27,57,284,607,2199,175,1,3355,
Walton,86453,206,4,13,63,189,655,1969,158,1,3052,
Burke,22890,115,3,4,22,108,198,553,47,0,935,
Columbia,138623,60,1,14,11,45,304,1759,87,10,2231,
McDuffie,21569,17,1,0,8,16,85,106,28,0,244,
Richmond,202898,133,7,26,124,100,791,2187,243,24,3502,
Brantley,18309,32,0,4,1,28,128,413,23,0,597,
Glynn,82203,321,5,20,107,296,904,2785,129,10,4256,
McIntosh,13980,9,1,2,2,6,88,195,13,0,307,
Catoosa,65852,157,1,6,18,150,259,1824,132,7,2397,
Dade,16531,109,0,0,0,109,31,108,4,0,252,
Walker,68244,269,11,10,210,248,987,2987,323,1,4777,
Chattahoochee,13372,0,0,0,0,0,7,0,1,0,8,
Harris,32894,14,0,1,3,13,101,230,21,0,369,
Marion,8641,0,0,0,0,0,0,2,1,0,3,
Muscogee,206714,591,22,47,511,522,3715,8541,1173,48,14579,
Murray,39323,87,0,5,0,82,115,658,66,0,926,
Whitfield,103323,195,4,31,23,160,724,2074,169,18,3203,
Hall,190345,255,6,30,71,219,847,2553,313,15,4054,
Liberty,64727,209,4,10,49,195,490,1300,67,8,2123,
Long,17217,14,1,1,3,12,128,118,23,0,286,
Bibb,154993,461,16,59,320,386,2345,5631,682,137,9576,
Crawford,12523,10,0,2,2,8,87,216,10,1,326,
Jones,28639,21,1,0,7,20,140,924,37,3,1132,
Monroe,27206,56,4,4,4,48,137,504,37,0,738,
Twiggs,8391,15,0,0,4,15,51,80,4,2,156,
Floyd,95988,209,4,20,60,185,733,2599,195,25,3821,
Bryan,33994,57,2,1,3,54,98,390,16,0,564,
Chatham,282547,627,33,74,538,520,2161,7347,844,37,11554,
Effingham,55152,29,0,2,12,27,215,189,46,7,498,
Brooks,15401,58,1,2,9,55,123,260,29,1,480,
Echols,4076,4,0,2,0,2,11,15,0,0,30,
Lanier,10522,32,1,3,3,28,71,125,12,0,243,
Lowndes,114115,242,7,20,71,215,928,3331,195,5,4772,
Houston,149928,275,4,20,134,251,1149,4498,244,17,6317,
